Edge1,Edge2,Weight,Type
red,blue,36,3
red,red,35,4
red,yellow,18,2
red,green,2,4
red,blue,71,3
red,red,75,3
red,yellow,74,2
red,green,94,3
red,blue,31,2
red,red,28,3
red,yellow,90,3
red,green,26,4
red,blue,112,1
red,red,79,1
blue,yellow,90,1
blue,green,60,2
blue,blue,118,2
blue,red,119,1
blue,yellow,95,4
blue,green,94,2
green,blue,112,4
green,red,30,2
green,yellow,47,4
green,green,10,2
green,blue,77,1
green,red,2,2
green,yellow,40,2
green,green,9,1
green,blue,54,1
green,red,69,2
yellow,yellow,22,4
yellow,green,48,2
yellow,blue,50,2
yellow,red,44,3
yellow,yellow,110,2
yellow,green,26,4
yellow,blue,71,1
yellow,red,34,1
yellow,yellow,54,3
yellow,green,110,1
yellow,blue,82,4
yellow,red,61,4
blue,blue,95,3
blue,red,60,2
blue,yellow,77,3
blue,green,82,2
green,blue,43,3
green,red,107,4
green,yellow,20,4
green,green,75,3
green,blue,72,2
green,red,13,1
green,yellow,118,4
green,green,115,2
green,blue,100,4
green,red,31,3
yellow,yellow,54,3
yellow,green,37,3
yellow,blue,24,2
yellow,red,81,3
yellow,yellow,102,1
yellow,green,108,1
yellow,blue,100,4
yellow,red,70,3
yellow,yellow,55,1
red,green,107,3
red,blue,118,4
red,red,34,2
red,yellow,20,2
red,green,66,2
red,blue,47,4
red,red,76,3
red,yellow,38,4
red,green,19,1
red,blue,36,1
red,red,34,4
blue,yellow,8,4
blue,green,50,3
red,blue,114,2
red,red,9,1
red,yellow,27,3
green,green,70,3
green,blue,40,4
green,red,52,3
yellow,yellow,80,4
yellow,green,73,4
yellow,blue,68,2
yellow,red,90,2
yellow,yellow,76,1
yellow,green,4,3
yellow,blue,21,1
yellow,red,120,3
yellow,yellow,52,3
yellow,green,61,4
yellow,blue,34,1
yellow,red,20,3
yellow,yellow,59,1
yellow,green,7,1
yellow,blue,32,2
yellow,red,20,4
yellow,green,89,2
yellow,blue,53,2
yellow,red,56,4
yellow,blue,52,2
blue,red,90,3
blue,yellow,53,3
blue,green,11,4
blue,blue,30,2
green,red,15,4
green,yellow,87,3
green,green,39,4
green,blue,56,4
green,red,117,1
green,yellow,70,1
green,green,30,2
green,blue,46,4
green,red,84,3
green,yellow,106,4
yellow,green,28,2
yellow,blue,87,3
yellow,red,26,1
yellow,green,116,4
yellow,blue,80,4
yellow,red,5,2
yellow,yellow,34,2
yellow,green,23,2
yellow,blue,53,4
yellow,red,10,1
yellow,yellow,109,3
yellow,green,61,3
yellow,blue,44,4
yellow,red,100,2
red,green,75,3
red,blue,34,4
red,red,62,3
red,yellow,37,4
red,green,26,4
red,blue,9,2
red,red,27,4
red,yellow,36,1
red,green,46,2
red,blue,31,2
red,red,10,2
blue,yellow,81,4
blue,green,21,2
blue,blue,83,3
blue,red,40,1
blue,yellow,114,1
blue,green,30,1
green,blue,85,1
green,red,46,3
