Edge1,Edge2,Weight
A1,B4,3
A1,C1,5
A1,A3,2
A1,A2,4
A2,A1,4
A2,A3,7
A2,A4,9
A2,B2,12
A2,B1,6
A3,A1,2
A3,A2,7
A3,A4,2
A3,C1,11
A4,A2,9
A4,A3,2
A4,B2,13
A4,B3,7
A4,C3,10
A4,C4,20
B1,A2,6
B1,B4,5
B1,B2,12
B2,B1,12
B2,A2,12
B2,A4,13
B2,B3,17
B3,B2,17
B3,A4,7
B3,C4,13
B3,F3,35
B4,B1,5
B4,A1,3
B4,C2,19
C1,A1,5
C1,A3,11
C1,C2,8
C1,C3,10
C2,B4,19
C2,C1,8
C3,A4,10
C3,C1,10
C3,C4,16
C4,A4,20
C4,B3,13
C4,C3,16
E1,E2,15
E1,F2,22
E1,F3,18
E1,G4,26
E2,E1,15
E2,F3,7
E2,F4,6
E2,E3,2
E2,F2,25
E3,E2,2
E3,F1,19
E3,F4,29
E4,F2,4
E4,G1,23
E4,G2,12
E4,G4,13
F1,E3,19
F1,F2,7
F1,G3,27
F2,F1,7
F2,G1,18
F2,E4,4
F2,G4,4
F2,E1,22
F2,E2,25
F3,E1,18
F3,E2,7
F3,G4,21
F3,F4,8
F4,F3,8
F4,E2,6
F4,E3,29
F4,G3,32
G1,E4,23
G1,F2,18
G1,G3,14
G1,G2,9
G1,G4,17
G2,G1,9
G2,G4,3
G2,E4,12
G3,G1,14
G3,F1,27
G3,F4,32
G4,F3,21
G4,E1,26
G4,F2,4
G4,E4,13
G4,G2,3
G4,G1,17
F3,B3,35
