Edge1,Edge2,Weight,Type
red,blue,3,1
red,red,5,1
red,yellow,2,1
red,green,4,1
red,blue,7,1
red,red,9,1
red,yellow,12,1
red,green,6,1
red,blue,2,1
red,red,11,1
red,yellow,13,1
red,green,7,1
red,blue,10,1
red,red,20,1
blue,yellow,5,2
blue,green,12,2
blue,blue,17,2
blue,red,13,2
blue,yellow,35,2
blue,green,19,2
green,blue,8,3
green,red,10,3
green,yellow,16,3
green,green,15,3
green,blue,22,3
green,red,18,3
green,yellow,26,3
green,green,7,3
green,blue,6,3
green,red,2,3
yellow,yellow,25,4
yellow,green,19,4
yellow,blue,29,4
yellow,red,4,4
yellow,yellow,23,4
yellow,green,12,4
yellow,blue,13,4
yellow,red,7,4
yellow,yellow,27,4
yellow,green,18,4
yellow,blue,4,4
yellow,red,4,4
